agent_id,chain_id,token_id,contract_address,owner_address,name,description,is_verified,x402_supported,total_score,rank,health_score,star_count,total_feedbacks,average_score,supported_protocols,owner_ens,is_testnet,created_at
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106820,56,106820,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,siunex.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:24:27Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106818,56,106818,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,mundi4.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:22:29Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106817,56,106817,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,canton.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:22:19Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106815,56,106815,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,taufik.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:21:10Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106810,56,106810,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,trippyweedman.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:19:22Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106806,56,106806,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,primegig.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:14:25Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106803,56,106803,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,myusdc.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:13:27Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106802,56,106802,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,bahadur.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:12:51Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106801,56,106801,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,kenx16.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:12:45Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106800,56,106800,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,burne22.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:10:53Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106799,56,106799,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,qisya.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:09:35Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106794,56,106794,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,joshpurrfect.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:08:03Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106792,56,106792,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,nazstar.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:04:33Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106791,56,106791,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,stormhavok82.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:03:55Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106790,56,106790,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,nebulowave.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:03:54Z
56:0x8004a169fb4a3325136eb29fa0ceb6d2e539a432:106789,56,106789,0x8004a169fb4a3325136eb29fa0ceb6d2e539a432,0xebf9e34b26787a04072551c5301510ad6cf00c11,bangkoplo.pie,Purr-Fect Claw cloud instance agent,False,True,0.0,,,0,0,0.0,,,False,2026-05-24T01:03:46Z
